Table B.2: Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Selected Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (%) with Improved Water Improved Sanitation and Other Urban Basic Services in Cities Selected Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,M49 classification,Country,,Year,Number of Cases,Improved water sources,,,,,,,,,,Total Improved water (d),Access to basic drinking water services (e),Improved sanitation facilities,,,,,,,Total Improved Sanitation (f),Access to basic sanitation services (g),Basic hand-washing facility (h),Durable housing (i),,,Sufficient living area (j),,,,Type of main cooking fuel,,,,,Source
Western Asia,Western Asia and Northern Africa,Armenia,Yerevan,2010,"8,370",99.2,0.7,99.8,0,0,0,0,0,0.2,0.2,100,,99.3,0,0,0,0.4,0,0.4,99.7,98.4,95,90.5,99.1,99.4,91.6,95.8,94,99.7,4.8,95.1,0,99.9,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Armenia,Yerevan,2016,"8,604",99.9,0,99.9,0,0,0,0,0,0.1,0.1,,,98.1,0,0,0.3,0,0.6,0.9,99,98.4,98.1,94.8,94.3,99.7,94.8,90.7,98,,2.6,97.3,0.1,,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Azerbaijan,Baku,2006,"8,733",87.5,1.2,88.7,0.1,1.7,0.1,0,8.5,0.4,10.8,99.5,81.6,88.1,0,,0,,10.4,10.4,98.4,85.1,,29,97.5,99.8,79.6,86.2,77.5,99.5,13.5,86.4,,99.9,0.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,1992,"3,723",95.7,3.9,99.6,,0.2,,,,,0.2,99.7,86.1,64.8,,,,,,3,67.8,,,98.5,,,66.8,,,98.8,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,1995,"11,114",93.9,5.6,99.6,,0,,,,,0,99.6,65.2,57,,,,,,0.3,57.3,,,94.5,,,72.2,,,99.8,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,2000,"5,659",97.4,2,99.4,,0.1,,,0.4,0,0.5,99.9,44.3,73.4,,,,,,3.7,77.2,74.1,,98.3,,,92.4,41.3,,98.8,0.1,97.3,0,97.4,2.6,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,2003,"3,144",99.4,0.2,99.5,,0.4,,,0,0,0.4,99.9,,83.9,,,,,,0.2,84.1,83.7,,97.5,,,96.8,64.2,,99.8,0.2,98.9,0,99.1,0.9,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,2005,"5,765",98.3,0.7,98.9,0,0,0,,0,0.7,0.7,99.6,,86.1,,,,,,0.7,86.7,84.6,,99.7,,,96.8,71.9,41,99.9,0,99.1,0,99.1,0.8,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,2008,"5,343",99.5,0.1,99.6,0,0,0,0,0,0.4,0.4,100,,88.4,,,,,,0.7,89.1,88.2,,99.5,,,96,63.5,64.8,99.6,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Alexandria,2014,"5,227",96.9,0.2,97.1,0,0,0,0,0,2.9,2.9,,95.6,95.3,0,0,1.8,,0,4.6,99.9,99.6,95,99,,,93.9,38.3,96.8,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Asyut,2000,"1,511",96.4,2.8,99.2,,0.8,,,0,0,0.8,,,21,,,,,,0.5,21.6,21.6,,86.3,,,91.3,19,,98.7,0,84.8,0,84.8,15.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Asyut,2003,841,97.8,2.2,,,0,,,0,0,0,,,25.1,,,,,,0,25.1,25.1,,93.3,,,93.9,46.6,,99.7,0,95.4,0,95.4,4.6,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Asyut,2005,"1,159",99,1,,0,0,0,,0,0,0,,,37.2,,,,,,1.7,38.9,38.2,,93.6,,,93.8,64.1,28.7,99,0,98.6,0,98.6,1.4,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Asyut,2008,"1,460",97.4,2.2,99.6,0.4,0,0,0,0,0,0.4,,,37.6,,,,,,3.7,41.3,40.9,,95.8,,,85,55.4,45,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Asyut,2014,"1,892",96.9,0.9,97.8,0,0,0.4,0,0,1.8,2.2,,,49.2,0,0,2.2,,0,50.7,99.9,95.1,,94.2,,,74.3,15.2,95.7,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Aswan,2005,662,99.4,0.4,99.8,0,0.1,0,,0,0,0.1,99.9,,37.2,,,,,,1.9,39.2,37.6,,90.3,,,92.5,67.2,22.5,,0.2,98.2,0,98.4,1.6,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Aswan,2008,582,98.9,1.1,100,0,0,0,0,0,0,0,100,,45.4,,,,,,9.5,54.9,53.5,,96.1,,,98.1,64.2,48.9,99.6,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Aswan,2014,803,99.6,0.4,,0,0,0,0,0,0,0,,,83.3,0,0,0.6,,0,16.7,,99.4,,92.7,,,86.6,23.5,90.5,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Beni Suef,2005,773,95.1,4.3,99.4,0.6,0,0,,0,0,0.6,,,37,,,,,,1.2,38.2,38.2,,89.2,,,90.9,62.7,25.9,99.5,0,95.2,0,95.2,4.7,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Beni Suef,2008,589,83.9,16.1,,0,0,0,0,0,0,0,,,37.8,,,,,,3.1,40.9,40.9,,83.8,,,88.9,48.4,45.5,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Beni Suef,2014,939,,0,,0,0,0,0,0,0,0,,,87.8,0,0,8.1,,0,12.2,,99.4,,96.2,,,91.4,9.5,94.7,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,1992,"9,445",93.4,5.9,99.3,,0.3,,,,,0.3,99.5,91,47.6,,,,,,3.6,51.3,,,98.9,,,64.9,,,99.3,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,1995,"11,114",94.5,4.4,98.9,,0,,,,,0,98.9,64.7,50,,,,,,1.1,51.1,,,95.6,,,74.5,,,99.1,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,2000,"9,960",98.6,1.3,99.9,,0.1,,,0,0,0.1,,96.1,65.4,,,,,,2,67.4,66,,98.9,,,91.4,53.5,,100,0.5,97.4,0,97.9,2.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,2003,"5,871",99.2,0.7,99.8,,0,,,0,0,0,99.8,,72.9,,,,,,0.5,73.4,73.4,,99.1,,,93.7,74.8,,99.9,1,97.5,0,98.5,1.4,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,2005,"12,208",98.2,1.1,99.3,0.1,0,0,,0.4,0.2,0.7,100,86.8,75.8,,,,,,0.6,76.4,76,,99.5,,,95,83.2,51.3,99.8,0,98.9,0.1,99,0.9,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,2008,"10,109",99.7,0.2,99.9,0,0,0,0,0,0.1,0.1,100,,81,,,,,,0.9,81.9,81.5,,99.4,,,95.9,65.3,57,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Cairo,2014,"10,769",99,0.1,99.1,0,0,0,0,0,0.9,0.9,100,,99.8,0,0,0.1,,0,0.2,100,98.9,94.2,99.5,,,94.4,31.6,94.9,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,1992,"1,063",92,5.8,97.8,,2,,,,,2,99.9,84.1,29,,,,,,0.5,29.6,,,97.6,,,72.3,,,99.1,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,1995,995,98.3,1.2,99.4,,0.6,,,,,0.6,,,61.3,,,,,,1.7,63,,,98,,,87.3,,,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,2000,"1,313",81.6,6.8,88.4,,2.8,,,4.7,0,7.6,96,66.4,21.7,,,,,,2.2,23.9,23.4,,94.9,,,92.6,25,,99.4,1,86.5,0,87.5,12.5,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,2003,726,98.5,1.5,100,,0,,,0,0,0,100,100,49.3,,,,,,0,49.3,49.3,,100,,,90.9,45.9,,100,0,98.1,0,98.1,1.9,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,2005,905,100,0,100,0,0,0,,0,0,0,100,,85.2,,,,,,0,85.2,84.1,,100,,,99.4,87.7,52.3,100,0.8,98.5,0,99.2,0.8,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,2008,"1,096",,0,,0,0,0,0,0,0,0,,,81.3,,,,,,0.7,81.9,81.6,,,,,98.7,58.9,47.8,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Damanhur,2014,"1,691",98.8,0.9,99.6,0,0,0,0,0,0.4,0.4,100,,93.7,0,0,5.7,,0,5.7,99.4,98.6,,100,,,93.2,26.1,96.2,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Faiyum,2005,504,98.3,1.7,100,0,0,0,,0,0,0,100,27.3,38.2,,,,,,2.4,40.6,40.6,,89.3,,,95.4,57.5,19.4,100,0.6,98.2,0,98.8,1.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Faiyum,2014,675,99.4,0.1,99.5,0,0,0,0,0,0.5,0.5,100,,91.6,0,0,8.4,,0,8.4,100,98.8,,97.6,,,93,16.7,94.2,99.2,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,1992,"2,923",80.5,11.7,92.2,,0.5,,,,,0.5,92.7,55.9,39.4,,,,,,3.1,42.5,,,94.1,,,70.3,,,96.5,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,1995,"4,247",82.4,4,86.3,,4.1,,,,,4.1,90.4,17,40,,,,,,1.4,41.4,,,90.9,,,69.9,,,98.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,2000,"4,536",96,2.7,98.6,,0,,,0,1.4,1.4,100,,58.3,,,,,,5.5,63.8,62.7,,99.5,,,95.5,52.1,,99.2,0.7,96.1,0,96.8,3.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,2003,"2,465",99.5,0.1,99.6,,0,,,0,0,0,99.6,,72.2,,,,,,1.8,74,74,,97.2,,,96.3,79.2,,99.6,0,99.1,0,99.1,0.5,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,2005,"6,554",95.7,1.1,96.8,0,0,0,,3.1,0.1,3.2,,74.3,62.8,,,,,,3.7,66.5,66.3,,98,,,95,72.5,37.6,99.8,0,98.3,0,98.3,1.7,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,2008,"4,462",99.1,0.5,99.5,0.2,0,0,0,0,0.3,0.5,,,83,,,,,,0.6,83.6,83.2,,100,,,96.9,71.5,85.5,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Giza,2014,"6,250",97.7,1.1,98.8,0,0,0,0,0,1.1,1.1,99.9,82.6,97.2,0,0,1.7,,0,2.8,100,99.6,96,99.8,,,92.7,25.7,94.9,99.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Ismailia,2005,739,99.3,0.7,,0,0,0,,0,0,0,,,77.4,,,,,,0,77.4,77,,99.9,,,95.1,71.7,41.1,,0,99.4,0.4,99.9,0.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Ismailia,2008,622,99.2,0.8,100,0,0,0,0,0,0,0,100,,77.2,,,,,,4.7,81.9,81.9,,99.4,,,100,62.3,62.2,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Kafr El-Sheikh,2000,819,93.6,5.1,98.7,,0,,,0,0,0,98.7,71.7,49.9,,,,,,7.7,57.7,56.2,,97.9,,,94.8,47,,100,0.1,93.7,0,93.8,6.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Kafr El-Sheikh,2003,567,98.9,1.1,,,0,,,0,0,0,,,34.9,,,,,,1.7,36.6,36.6,,96.6,,,97.9,61.7,,98.3,0,98.9,0,98.9,1.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Kafr El-Sheikh,2008,807,100,0,100,0,0,0,0,0,0,0,100,,63.1,,,,,,0,63.1,61.7,,100,,,99,67.8,34.6,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Kafr El-Sheikh,2014,715,97.9,0,97.9,0,0,0,0,0,2.1,2.1,,,,0,0,0,,0,0,,99.5,,,,,97.3,27.6,96.1,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,1992,"1,273",98.6,0.7,99.3,,0,,,,,0,99.3,50,51.3,,,,,,0,51.3,,,93.8,,,79.7,,,99,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,1995,"2,357",95,0.4,95.5,,0,,,,,0,95.5,4.9,54.8,,,,,,5.4,60.2,,,98.5,,,73.2,,,99.2,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,2000,"1,917",98.7,0.9,99.6,,0,,,0.4,0,0.4,,66.7,61,,,,,,0.4,61.4,60.1,,97.8,,,97.6,42.2,,99.5,0,96.9,0,96.9,3,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,2003,"1,075",98.3,0.8,99.1,,0.9,,,0,0,0.9,100,,70.4,,,,,,0.9,71.3,71.3,,100,,,99.2,60.5,,100,0,99.2,0,99.2,0.8,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,2005,"2,250",99.8,0,99.8,0.2,0,0,,0,0,0.2,,,66.7,,,,,,6.1,72.8,72.8,,99.3,,,97.8,56.6,23.8,,0.9,98.7,0,99.6,0.3,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,2008,"1,611",97.2,0.5,97.7,0,0,0,0,0,2.3,2.3,100,,77.5,,,,,,0.3,77.9,77.9,,99.1,,,98.7,66.8,51.9,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Mansoura,2014,"2,361",99.8,0,99.8,0,0,0,0,0,0.2,0.2,100,,95.8,0,0,3.6,,0.3,3.9,99.7,98.7,,98.2,,,94.7,33.9,91.2,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Port Said,1995,698,96.1,2.7,98.8,,0.3,,,,,0.3,99,38,79.2,,,,,,1.7,80.9,,,97.4,,,76.7,,,98.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Port Said,2000,768,94.6,0.2,94.8,,0,,,5.2,0,5.2,100,,86.7,,,,,,2.3,88.9,86.6,,97.8,,,95.9,62.1,,100,0,97.9,0,97.9,2.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Port Said,2005,861,95.3,0.6,95.8,0,0,0,,4.2,0,4.2,100,91,85.7,,,,,,3.1,88.7,88,,97.2,,,97.8,76.9,50.4,99.9,0,99.8,0,99.8,0.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Port Said,2008,730,98.1,0.4,98.4,0,0,0,0,1.6,0,1.6,,81.1,90.4,,,,,,2.6,93,93,,99.1,,,98.2,71.5,51.7,,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Qena,1995,934,82,4.8,86.8,,11.5,,,,,11.5,98.4,75,17.9,,,,,,9.5,27.4,,,65.8,,,63.2,,,98.4,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Qena,2000,848,93.5,4.4,97.9,,0.9,,,0,0,0.9,98.7,92.9,16.5,,,,,,1.8,18.3,18.2,,74.5,,,88.1,24.4,,99.9,0,91.1,0,91.1,8.9,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Qena,2005,"1,555",98.5,1,99.5,0,0.1,0,,0.2,0,0.3,99.8,,45,,,,,,2.5,47.5,46.8,,88.7,,,91.8,77,37.9,99.9,0.1,98.7,0,98.8,1.2,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Qena,2008,687,96.5,2.2,98.7,0.2,1.1,0,0,0,0,1.3,100,36.8,59.6,,,,,,3.5,63.2,63,,90.2,,,97.5,60.7,48.1,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Qena,2014,827,99.5,0.5,,0,0,0,0,0,0,0,,0,58,0,0,20.1,,0,42,,98.2,,98.8,,,91.6,26,94.5,99.5,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Sawhaj,2005,"1,352",99,0,99,0,1,0,,0,0,1,,,25.5,,,,,,0.5,26.1,26.1,,84.6,,,90,46.9,15.1,,0,97.9,0,97.9,2.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Sawhaj,2008,946,98.6,0,98.6,0,0.6,0,0,0.3,0.5,1.4,,0,39.3,,,,,,1.6,41,41,,85.4,,,86.2,60.4,50.2,98.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Sawhaj,2014,"1,437",99.9,0,99.9,0,0,0,0,0,0.1,0.1,100,,76.8,0,0,1.2,,0,23.2,100,97.3,,95.3,,,82.2,28.3,94.1,99.2,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Sharqia,1995,980,98.2,1.2,99.3,,0,,,,,0,99.3,63.6,46.7,,,,,,1.3,48.1,,,96.6,,,73.1,,,99,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Suez,2005,766,98.3,1.7,100,0,0,0,,0,0,0,100,,77.5,,,,,,0,77.5,77.4,,99.9,,,99.2,80.7,44.4,100,0,99.9,0,99.9,0.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Suez,2008,717,99.7,0,99.7,0,0,0,0,0,0,0,99.7,,58.4,,,,,,1.5,59.9,59.9,,95.6,,,99.8,66.9,44.5,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Suez,2014,"4,848",99.6,0,99.6,0,0,0,0,0.1,0.3,0.3,99.9,99.7,95.3,0,0,4.3,,0,4.6,99.9,99.8,97.3,97.8,,,95.8,26.7,97.4,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,1992,"1,495",92.5,5.4,97.9,,0,,,,,0,97.9,72.1,22.6,,,,,,2.2,24.8,,,87.5,,,70.5,,,99.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,1995,"1,405",90.5,8.4,98.9,,0.1,,,,,0.1,99,83.3,42.2,,,,,,1,43.2,,,83.4,,,72.5,,,98.9,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,2000,"1,974",99.6,0.4,100,,0,,,0,0,0,100,,48.9,,,,,,14.4,63.3,62.1,,97,,,95.9,35.1,,99.9,0,96.1,0,96.1,3.7,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,2003,"1,046",99.9,0.1,100,,0,,,0,0,0,100,,62.4,,,,,,1.1,63.5,63.5,,98.9,,,98.1,55.9,,100,0.6,99.3,0,99.9,0.1,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,2005,"2,265",,0,,0,0,0,,0,0,0,,,91.8,,,,,,1,92.8,92.1,,,,,99.7,83.4,51.2,,0.5,99.5,0,,0,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,2008,"1,369",87.7,0.5,88.3,0.6,7.8,0.4,0,0.3,2.7,11.7,100,,71.2,,,,,,1.6,72.9,72.9,,100,,,98.8,62.5,52.9,100,,,,,,UN-Habitat_DHS
Northern Africa,Western Asia and Northern Africa,Egypt,Tahta,2014,"2,118",81.6,6.6,88.2,0,0,0,0,0,11.8,11.8,100,94.7,98.5,0,0,1.5,,0,1.5,100,100,,99,,,96.2,40.1,94.9,99.9,,,,,,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Georgia,Tbilisi,2005,"10,682",99.5,0.5,99.9,0,0,0,,0,0.1,0.1,100,100,98,,0,0.2,1,0.7,1.9,99.9,96.5,,99.3,97.8,99.5,87,78.5,76,98.6,8.9,89.8,0,98.6,1.4,UN-Habitat_MICS
Western Asia,Western Asia and Northern Africa,Iraq,Baghdad,2006,"20,391",97.8,0.2,97.9,0,0.2,,,0,1.6,1.9,99.8,99.8,65.1,0,2.6,29.4,1.1,1.4,34.5,99.7,72.4,,99.3,98.1,96,55.4,37.9,66.5,99.7,0,87.6,,87.6,12.4,UN-Habitat_MICS
Western Asia,Western Asia and Northern Africa,Iraq,Basra,2006,"5,414",0.6,0.1,0.7,0.2,0,,,2.8,0,3,3.7,3.7,43.3,0,3.1,40.2,3.9,0.8,48,91.8,68.8,,95.9,71.3,94.7,66.9,35.7,78.8,99.9,0.2,98.1,,98.3,1.7,UN-Habitat_MICS
Western Asia,Western Asia and Northern Africa,Iraq,Kirkuk,2006,"2,122",100,0,,0,0,,,0,0,0,,,11.6,0,0.3,77.7,9.5,0.6,88.2,99.8,83.8,,97.4,93.8,92.7,48,39.3,89.1,,0,99.2,,99.2,0.8,UN-Habitat_MICS
Western Asia,Western Asia and Northern Africa,Jordan,Ajloun,2007,"1,349",71.4,0,71.4,0,0,0,23.1,1.5,3.3,27.9,99.3,,38.8,0,2.5,,33,25.6,61.1,99.9,97.9,,100,99.8,,63.2,33.4,93.6,99.5,0.1,99.8,99.8,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Ajloun,2009,"1,232",64,0,64,0,0,0,22,1.2,11.7,34.9,98.9,,43.8,0,0,,56.2,0,56.2,100,99.2,,100,100,,71.2,16.4,98.2,99.6,0,99.9,0,99.9,0.1,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Ajloun,2012,"1,384",41.6,0,41.6,0,0,0,21.3,0.9,33,55.3,96.9,,43.7,,0,0,56.3,0,56.3,100,99.7,,100,99.4,99.6,75.2,15.2,98.9,99.6,0,100,,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Ajloun,2018,"1,590",19.2,,19.2,,,,12.6,0.2,66.8,79.6,98.8,98.8,39.9,,0,,52.5,7.6,60.1,,97.5,,,99.9,99.7,66.6,2.6,99,,0.3,99.7,,,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,1997,"17,382",98.6,0.1,98.6,,0.2,,0,0.8,0.3,1.3,99.9,,96.3,,,,,,,96.3,,,99.9,,,59.2,55.1,,,,,,,,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,2002,"16,286",86.8,0,86.8,,,,0.4,0.7,12,13,99.9,,0.9,,,,,,,92.8,,,,,,73.4,66.6,38.7,1,99.7,99.9,0,99.9,0.1,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,2007,"28,977",69.1,0,69.1,0,0,0,0.6,1.2,29,30.8,99.9,,79.6,0,2.4,,11.7,6.1,20.3,99.9,95.3,,100,99.1,,73.2,46.5,94.6,98.6,0.1,99.8,99.8,99.9,0.1,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,2009,"25,652",57.3,0,57.3,0,0,0,0.9,0.5,41.1,42.6,99.8,,81.1,0,0,,17.9,0.9,18.9,,99,,100,,,79.6,33.7,99.1,99.7,0,99.9,0,99.9,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,2012,"28,196",51.6,0,51.6,0,0,0,0.1,0,48.3,48.4,100,,78.5,,0,0,21.5,0,21.5,100,99.8,,100,99.7,99.7,77.1,28.2,99.4,99.5,0,100,,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Amman,2018,"34,859",65,,65,,,,0.1,0.2,34.8,35,100,100,83.8,,0.1,,14.1,2,16.2,100,99.9,,100,99.4,99,83.7,16,99,,0.6,99.4,,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Aqaba,2007,"1,413",97.1,0,97.1,0,0,0,0.3,0.7,1.8,2.9,100,,77.4,0,1.2,,11.8,8.2,21.1,98.5,97.6,,99.3,99.2,,64.1,32.5,94,98.6,0.1,99.4,99.4,99.5,0.4,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Aqaba,2018,"1,795",79.8,,79.8,,,,0,0,20.2,20.2,,,86.2,,0,,12.8,0.7,13.6,99.7,99.6,,,99,99,80.4,8.8,98.1,,1.3,98.4,,99.7,0.3,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Balqa,2007,"3,644",78.3,0,78.3,0,0,0,3.3,0.6,17,20.9,99.2,,76.3,0,2.7,,16.1,4.6,23.3,99.7,98.9,,99.7,99.6,,66.7,37.5,90.1,99.1,0.3,99.7,99.7,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Balqa,2009,"3,374",70.6,0,70.6,0,0,0,3.6,1.1,23.2,27.9,98.5,,71.1,0,0.4,,28.4,0.1,28.9,100,97,,100,99.4,,64.7,21,97,99.4,0.4,99.5,0,99.9,0.1,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Balqa,2012,"3,985",65.3,0,65.3,0,0,0,2.5,1.4,30.1,34,99.3,,73.8,,0.1,0,26,0,26.2,100,99.6,,99.9,99.2,94.5,74.6,15.9,99,99.4,0,100,,100,0,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Balqa,2018,"4,175",87,,87,,,,0.4,1.9,10.4,12.7,99.7,99.7,78.3,,1.6,,15.5,4.3,21.4,99.6,96.1,,99.1,98.6,97.9,74,13.2,97.4,,0.7,98.9,,99.7,0.3,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Irbid,2002,"6,361",77.8,0,77.8,,,,16.1,2.7,3.4,22.2,,,1,,,,,,,96.4,,,100,,,65.4,58.3,28,1,99.9,99.1,0,99.3,0.7,UN-Habitat_DHS
Western Asia,Western Asia and Northern Africa,Jordan,Irbid,2007,"12,296",62.7,0,62.7,0,0,0,18.5,3.5,14.9,36.8,99.5,,37.4,0,1.7,,38.2,22.2,62.1,99.5,97.6,,100,99.9,,66.4,34.8,93.3,99.3,0.7,99.3,99.3,100,0,UN-Habitat_DHS
