Indicator_series,Indicator_Description,City,Country,Region,Estimate_Year,Urban_Share_in_OPS,Urban_Share_in_Streets,Urban_Share_in_OPS_and_Streets,Population_with_OPS_access,Estimate_Source,ObjectId
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Río Bravo (Ciudad Río Bravo),Mexico,Latin America and the Caribbean,2020,3.95,13.19,17.14,81.91,UN-Habitat Urban Indicators Database,127
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Saltillo,Mexico,Latin America and the Caribbean,2020,1.96,14.67,16.63,52.02,UN-Habitat Urban Indicators Database,128
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Juan del Río,Mexico,Latin America and the Caribbean,2020,2.08,11.9,13.98,71.8,UN-Habitat Urban Indicators Database,129
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Luis Río Colorado,Mexico,Latin America and the Caribbean,2020,1.72,15.87,17.59,26.71,UN-Habitat Urban Indicators Database,130
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tehuacán,Mexico,Latin America and the Caribbean,2020,1.71,11.82,13.52,64.25,UN-Habitat Urban Indicators Database,131
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tepic,Mexico,Latin America and the Caribbean,2020,2.78,16.06,18.84,55.45,UN-Habitat Urban Indicators Database,132
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Veracruz,Mexico,Latin America and the Caribbean,2020,2.38,14.07,16.44,52.52,UN-Habitat Urban Indicators Database,133
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Xalapa-Enríquez (Jalapa),Mexico,Latin America and the Caribbean,2020,5.74,13.1,18.84,60.3,UN-Habitat Urban Indicators Database,134
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Azrou,Morocco,Western Asia  and Northern Africa ,2020,6.94,16.42,23.36,69.87,UN-Habitat Urban Indicators Database,135
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Casablanca (includes Mohammedia),Morocco,Western Asia  and Northern Africa ,2020,1.23,17.88,19.11,29.18,UN-Habitat Urban Indicators Database,136
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Fez,Morocco,Western Asia  and Northern Africa ,2020,1.37,17.91,19.28,32.55,UN-Habitat Urban Indicators Database,137
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Fikh Ben Salah,Morocco,Western Asia  and Northern Africa ,2020,1.63,16.93,18.56,55.85,UN-Habitat Urban Indicators Database,138
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Maknes,Morocco,Western Asia  and Northern Africa ,2020,1.95,18.99,20.94,29.35,UN-Habitat Urban Indicators Database,139
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Marrakesh,Morocco,Western Asia  and Northern Africa ,2020,1.64,13.24,14.88,61.32,UN-Habitat Urban Indicators Database,140
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Midelt,Morocco,Western Asia  and Northern Africa ,2020,1.25,14.04,15.29,54.38,UN-Habitat Urban Indicators Database,141
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Oujda,Morocco,Western Asia  and Northern Africa ,2020,1.26,23.75,25.01,45.51,UN-Habitat Urban Indicators Database,142
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Safi,Morocco,Western Asia  and Northern Africa ,2020,4.71,17.56,22.27,55.23,UN-Habitat Urban Indicators Database,143
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sefrou,Morocco,Western Asia  and Northern Africa ,2020,3.38,15.28,18.66,63.58,UN-Habitat Urban Indicators Database,144
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tanger,Morocco,Western Asia  and Northern Africa ,2020,2,16.59,18.58,46.88,UN-Habitat Urban Indicators Database,145
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Temara,Morocco,Western Asia  and Northern Africa ,2020,2.56,13.84,16.39,25.65,UN-Habitat Urban Indicators Database,146
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Pemba,Mozambique,Sub-Saharan Africa,2020,2.08,13.98,16.06,49.89,UN-Habitat Urban Indicators Database,147
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Mawlamyine,Myanmar,Eastern Asia and South-eastern Asia,2020,1.18,10.5,11.68,37.17,UN-Habitat Urban Indicators Database,148
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Zwolle,Netherlands,Northern America and Europe,2020,7.43,15.01,22.43,91.93,UN-Habitat Urban Indicators Database,149
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Auckland,New Zealand,Australia and New Zealand,2020,9.23,16.19,25.43,88.44,UN-Habitat Urban Indicators Database,150
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Barisal,Bangladesh,Central and Southern Asia ,2020,1.06,11.53,12.6,38.87,UN-Habitat Urban Indicators Database,151
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Comilla,Bangladesh,Central and Southern Asia ,2020,1.1,10.36,11.46,25.63,UN-Habitat Urban Indicators Database,152
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Dhaka,Bangladesh,Central and Southern Asia ,2020,1.26,12.24,13.5,31.38,UN-Habitat Urban Indicators Database,153
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Dinajpur,Bangladesh,Central and Southern Asia ,2020,1.35,11.81,13.15,40.98,UN-Habitat Urban Indicators Database,154
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Gomel,Belarus,Northern America and Europe,2020,3.54,12.03,15.58,39.89,UN-Habitat Urban Indicators Database,155
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Babrujsk ,Belarus ,Northern America and Europe,2020,5.23,12.91,18.14,48.66,UN-Habitat Urban Indicators Database,156
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Brest ,Belarus ,Northern America and Europe,2020,7.99,13.7,21.7,53.03,UN-Habitat Urban Indicators Database,157
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Hrodna ,Belarus ,Northern America and Europe,2020,7.49,19.38,26.87,80.88,UN-Habitat Urban Indicators Database,158
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kobyrn ,Belarus ,Northern America and Europe,2020,4.39,10.94,15.32,43.96,UN-Habitat Urban Indicators Database,159
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Mazyr ,Belarus ,Northern America and Europe,2020,8.66,13.04,21.7,72.11,UN-Habitat Urban Indicators Database,160
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Minsk ,Belarus ,Northern America and Europe,2020,11.46,19,30.46,83.28,UN-Habitat Urban Indicators Database,161
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Polack ,Belarus ,Northern America and Europe,2020,5.67,13.62,19.29,66.09,UN-Habitat Urban Indicators Database,162
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Salihorsk ,Belarus ,Northern America and Europe,2020,4.57,14.61,19.18,55.38,UN-Habitat Urban Indicators Database,163
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Viciebsk ,Belarus ,Northern America and Europe,2020,2.73,16.03,18.76,51.27,UN-Habitat Urban Indicators Database,164
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Antwerpen,Belgium,Northern America and Europe,2020,3.04,11.96,15,39.76,UN-Habitat Urban Indicators Database,165
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Djougou,Benin,Sub-Saharan Africa,2020,1.49,11.97,13.46,40.69,UN-Habitat Urban Indicators Database,166
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Thimphu,Bhutan,Central and Southern Asia ,2020,2.6,11.88,14.48,30.46,UN-Habitat Urban Indicators Database,167
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cochabamba,Bolivia,Latin America and the Caribbean,2020,1.8,15.99,17.78,63.62,UN-Habitat Urban Indicators Database,168
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Aparecida de Goiânia,Brazil,Latin America and the Caribbean,2020,4.66,17.64,22.29,52.8,UN-Habitat Urban Indicators Database,169
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Araxá,Brazil,Latin America and the Caribbean,2020,4.45,19.75,24.2,82.87,UN-Habitat Urban Indicators Database,170
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Barretos,Brazil,Latin America and the Caribbean,2020,3.92,20.94,24.86,76.27,UN-Habitat Urban Indicators Database,171
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Belem (includes Ananindeua),Brazil,Latin America and the Caribbean,2020,3.05,15.88,18.93,29.35,UN-Habitat Urban Indicators Database,172
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Belo Horizonte,Brazil,Latin America and the Caribbean,2020,5.3,16.55,21.85,41.55,UN-Habitat Urban Indicators Database,173
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Brasilia,Brazil,Latin America and the Caribbean,2020,5.97,17.56,23.53,47.15,UN-Habitat Urban Indicators Database,174
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Campinas,Brazil,Latin America and the Caribbean,2020,2.73,16.48,19.21,56.78,UN-Habitat Urban Indicators Database,175
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Criciúma,Brazil,Latin America and the Caribbean,2020,1.75,14.85,16.6,52.16,UN-Habitat Urban Indicators Database,176
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cuiabá,Brazil,Latin America and the Caribbean,2020,2.14,16.72,18.87,47.87,UN-Habitat Urban Indicators Database,177
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Curitiba,Brazil,Latin America and the Caribbean,2020,5.46,14.66,20.12,83.75,UN-Habitat Urban Indicators Database,178
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Divinópolis,Brazil,Latin America and the Caribbean,2020,3.16,15.15,18.31,54.64,UN-Habitat Urban Indicators Database,179
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Florianopolis,Brazil,Latin America and the Caribbean,2020,4.87,15.36,20.24,76.18,UN-Habitat Urban Indicators Database,180
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guarapari,Brazil,Latin America and the Caribbean,2020,4.84,15.8,20.64,89.54,UN-Habitat Urban Indicators Database,181
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ilheus,Brazil,Latin America and the Caribbean,2020,2.41,14.14,16.55,54.72,UN-Habitat Urban Indicators Database,182
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Indaiatuba,Brazil,Latin America and the Caribbean,2020,4.22,14.78,19,70.02,UN-Habitat Urban Indicators Database,183
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ituiutaba,Brazil,Latin America and the Caribbean,2020,3.22,18.94,22.16,84.53,UN-Habitat Urban Indicators Database,184
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Limeira,Brazil,Latin America and the Caribbean,2020,3.02,18.58,21.6,74.28,UN-Habitat Urban Indicators Database,185
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Macapa,Brazil,Latin America and the Caribbean,2020,4.22,14.81,19.03,51.54,UN-Habitat Urban Indicators Database,186
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Montes Claros,Brazil,Latin America and the Caribbean,2020,2.55,18.53,21.08,64.73,UN-Habitat Urban Indicators Database,187
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Palmas,Brazil,Latin America and the Caribbean,2020,8.96,18.39,27.35,93.45,UN-Habitat Urban Indicators Database,188
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Parauapebas,Brazil,Latin America and the Caribbean,2020,4.82,19.23,24.05,52.77,UN-Habitat Urban Indicators Database,189
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Passos,Brazil,Latin America and the Caribbean,2020,5.06,19.73,24.8,78.56,UN-Habitat Urban Indicators Database,190
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",PortoAlegre (includes NovoHamburgo),Brazil,Latin America and the Caribbean,2020,3.23,15.73,18.96,51.55,UN-Habitat Urban Indicators Database,191
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Recife,Brazil,Latin America and the Caribbean,2020,2.99,18.51,21.5,54.83,UN-Habitat Urban Indicators Database,192
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Ribeirao Preto,Brazil,Latin America and the Caribbean,2020,1.84,17.87,19.71,62.29,UN-Habitat Urban Indicators Database,193
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Salvador,Brazil,Latin America and the Caribbean,2020,1.85,17.15,19,44.82,UN-Habitat Urban Indicators Database,194
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santa Cruz do Capibaribe,Brazil,Latin America and the Caribbean,2020,4.12,12.02,16.14,61.65,UN-Habitat Urban Indicators Database,195
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santana (Porto Santana),Brazil,Latin America and the Caribbean,2020,1.61,12.98,14.6,38.52,UN-Habitat Urban Indicators Database,196
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",São Carlos,Brazil,Latin America and the Caribbean,2020,3.98,18.4,22.38,76.91,UN-Habitat Urban Indicators Database,197
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sao Paulo,Brazil,Latin America and the Caribbean,2020,1.68,17.12,18.8,53.76,UN-Habitat Urban Indicators Database,198
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tatuí,Brazil,Latin America and the Caribbean,2020,3.45,16.43,19.87,81.74,UN-Habitat Urban Indicators Database,199
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Teixeira de Freitas,Brazil,Latin America and the Caribbean,2020,4.56,21.74,26.3,81.26,UN-Habitat Urban Indicators Database,200
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Addis Ababa,Ethiopia,Sub-Saharan Africa,2020,2.53,21.77,24.3,41.77,UN-Habitat Urban Indicators Database,201
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Gorgan,Iran,Central and Southern Asia ,2020,1.86,12.34,14.19,49.16,UN-Habitat Urban Indicators Database,202
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Girardot,Colombia,Latin America and the Caribbean,2020,1.42,25.88,27.31,46.04,UN-Habitat Urban Indicators Database,203
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Karaj,Iran,Central and Southern Asia ,2020,1.9,11.31,13.22,50.64,UN-Habitat Urban Indicators Database,204
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Girardot,Colombia,Latin America and the Caribbean,2020,1.42,25.68,27.1,60.05,UN-Habitat Urban Indicators Database,205
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kashan ,Iran,Central and Southern Asia ,2020,2.89,13.26,16.15,51.42,UN-Habitat Urban Indicators Database,206
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guadalajara De Buga,Colombia,Latin America and the Caribbean,2020,2.56,24.05,26.62,83.08,UN-Habitat Urban Indicators Database,207
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kashmar,Iran,Central and Southern Asia ,2020,2.26,13.52,15.77,73.33,UN-Habitat Urban Indicators Database,208
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Medellín,Colombia,Latin America and the Caribbean,2020,2.4,23.69,26.09,52.85,UN-Habitat Urban Indicators Database,209
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Awassa,Ethiopia,Sub-Saharan Africa,2020,2.84,14.81,17.66,62.38,UN-Habitat Urban Indicators Database,210
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kerman,Iran,Central and Southern Asia ,2020,2.03,15.33,17.36,61.92,UN-Habitat Urban Indicators Database,211
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Neiva,Colombia,Latin America and the Caribbean,2020,5.22,30.6,35.81,78.69,UN-Habitat Urban Indicators Database,212
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",BahirDar,Ethiopia,Sub-Saharan Africa,2020,1.41,14.36,15.78,89.99,UN-Habitat Urban Indicators Database,213
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Khoram Abad,Iran,Central and Southern Asia ,2020,4.12,15.68,19.8,68.35,UN-Habitat Urban Indicators Database,214
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Neiva,Colombia,Latin America and the Caribbean,2020,5.22,30.08,35.3,85,UN-Habitat Urban Indicators Database,215
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sincelejo,Colombia,Latin America and the Caribbean,2020,1.04,27.25,28.3,57,UN-Habitat Urban Indicators Database,216
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Sincelejo,Colombia,Latin America and the Caribbean,2020,1.04,26.9,27.95,68.68,UN-Habitat Urban Indicators Database,217
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tunja,Colombia,Latin America and the Caribbean,2020,2.58,26.8,29.38,81.26,UN-Habitat Urban Indicators Database,218
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tunja,Colombia,Latin America and the Caribbean,2020,2.58,26.39,28.97,88.9,UN-Habitat Urban Indicators Database,219
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Valledupar,Colombia,Latin America and the Caribbean,2020,2.21,21.1,23.31,35.44,UN-Habitat Urban Indicators Database,220
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Villavicencio,Colombia,Latin America and the Caribbean,2020,2.2,24.53,26.74,52.4,UN-Habitat Urban Indicators Database,221
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Villavicencio,Colombia,Latin America and the Caribbean,2020,2.2,24.24,26.44,59.84,UN-Habitat Urban Indicators Database,222
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Zipaquirá,Colombia,Latin America and the Caribbean,2020,2.75,23.05,25.8,70.44,UN-Habitat Urban Indicators Database,223
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,2020,1.42,16.61,18.03,17.31,UN-Habitat Urban Indicators Database,224
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Barranca (includes Chacarita),Costa Rica,Latin America and the Caribbean,2020,4.26,16.51,20.77,76.28,UN-Habitat Urban Indicators Database,225
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cartago,Costa Rica,Latin America and the Caribbean,2020,1.77,15.16,16.93,50.6,UN-Habitat Urban Indicators Database,226
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Liberia,Costa Rica,Latin America and the Caribbean,2020,2.37,17.9,20.27,70.86,UN-Habitat Urban Indicators Database,227
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Puerto Limon,Costa Rica,Latin America and the Caribbean,2020,3.75,16.5,20.25,55.71,UN-Habitat Urban Indicators Database,228
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",San Hose,Costa Rica,Latin America and the Caribbean,2020,1.91,14.9,16.81,59.13,UN-Habitat Urban Indicators Database,229
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Bayamo,Cuba,Latin America and the Caribbean,2020,4.45,17.5,21.96,64.77,UN-Habitat Urban Indicators Database,230
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Camaguey,Cuba,Latin America and the Caribbean,2020,2.65,14.55,17.2,55.37,UN-Habitat Urban Indicators Database,231
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cienfuego,Cuba,Latin America and the Caribbean,2020,3.45,11.63,15.08,40.07,UN-Habitat Urban Indicators Database,232
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guantanamo,Cuba,Latin America and the Caribbean,2020,2.37,14.35,16.72,48.21,UN-Habitat Urban Indicators Database,233
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Holguin,Cuba,Latin America and the Caribbean,2020,1.88,13.62,15.5,43.45,UN-Habitat Urban Indicators Database,234
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",LacHabana,Cuba,Latin America and the Caribbean,2020,4.42,17.15,21.57,68.84,UN-Habitat Urban Indicators Database,235
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Las Tunas,Cuba,Latin America and the Caribbean,2020,1.96,16.68,18.64,38.43,UN-Habitat Urban Indicators Database,236
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santa Clara,Cuba,Latin America and the Caribbean,2020,1.74,15.2,16.94,58.38,UN-Habitat Urban Indicators Database,237
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santiago De Cuba,Cuba,Latin America and the Caribbean,2020,2.41,14.91,17.32,53.72,UN-Habitat Urban Indicators Database,238
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",La Vega,Dominican Republic,Latin America and the Caribbean,2020,3.59,13.7,17.29,48,UN-Habitat Urban Indicators Database,239
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Babahoyo,Ecuador,Latin America and the Caribbean,2020,3.2,13.52,16.72,55.39,UN-Habitat Urban Indicators Database,240
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Chone,Ecuador,Latin America and the Caribbean,2020,2.85,12.79,15.64,69.41,UN-Habitat Urban Indicators Database,241
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Cuenca,Ecuador,Latin America and the Caribbean,2020,3.32,11.77,15.09,62.14,UN-Habitat Urban Indicators Database,242
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Daule,Ecuador,Latin America and the Caribbean,2020,1.99,14.69,16.69,83.94,UN-Habitat Urban Indicators Database,243
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Esmeraldas,Ecuador,Latin America and the Caribbean,2020,1.43,14.51,15.93,70.81,UN-Habitat Urban Indicators Database,244
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Guayaquil,Ecuador,Latin America and the Caribbean,2020,2.92,15.95,18.87,41.44,UN-Habitat Urban Indicators Database,245
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Loja,Ecuador,Latin America and the Caribbean,2020,3.12,14.9,18.03,57.99,UN-Habitat Urban Indicators Database,246
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Machala,Ecuador,Latin America and the Caribbean,2020,1.38,14.72,16.1,44.17,UN-Habitat Urban Indicators Database,247
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Milagro,Ecuador,Latin America and the Caribbean,2020,1.34,15.26,16.6,41.94,UN-Habitat Urban Indicators Database,248
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Quevedo,Ecuador,Latin America and the Caribbean,2020,1.58,12.31,13.9,39.34,UN-Habitat Urban Indicators Database,249
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Quito,Ecuador,Latin America and the Caribbean,2020,2.25,12.07,14.32,45.08,UN-Habitat Urban Indicators Database,250
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Riobamba,Ecuador,Latin America and the Caribbean,2020,1.03,13.75,14.78,53.23,UN-Habitat Urban Indicators Database,251
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Santo Domingo de los Colorados,Ecuador,Latin America and the Caribbean,2020,3.17,12.68,15.85,39.88,UN-Habitat Urban Indicators Database,252
SDG 11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities",Tulcán,Ecuador,Latin America and the Caribbean,2020,2.27,13.46,15.73,75.42,UN-Habitat Urban Indicators Database,253
