Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Alice Spring,Australia,Australia and New Zealand ,83.35,UN-Habitat Urban Indicators Database,331
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Al-Khafji,Saudi Arabia,Western Asia  and Northern Africa ,7.54,UN-Habitat Urban Indicators Database,332
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Al-Khalil,Palestinian territories ,Western Asia  and Northern Africa ,18.05,UN-Habitat Urban Indicators Database,333
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Beograd,Serbia,Northern America and Europe,90.28,European Commission DG REGIO,334
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",AlKhor,Qatar,Western Asia  and Northern Africa ,35.41,UN-Habitat Urban Indicators Database,335
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Berezniki,Russia,Northern America and Europe,65.66,UN-Habitat Urban Indicators Database,336
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Alkmaar,Netherlands,Northern America and Europe,93.59,European Commission DG REGIO,337
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Coslada,Spain,Northern America and Europe,98.02,European Commission DG REGIO,338
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bergamo,Italy,Northern America and Europe,82.61,European Commission DG REGIO,339
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Almada,Portugal,Northern America and Europe,95.96,European Commission DG REGIO,340
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bergen,Norway,Northern America and Europe,89.73,European Commission DG REGIO,341
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cottbus,Germany,Northern America and Europe,93.8,European Commission DG REGIO,342
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Al-Madinah,Saudi Arabia,Western Asia  and Northern Africa ,4.38,UN-Habitat Urban Indicators Database,343
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bergen op Zoom,Netherlands,Northern America and Europe,89,European Commission DG REGIO,344
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Coventry,United Kingdom,Northern America and Europe,97.47,European Commission DG REGIO,345
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Almaty,Kazakhstan,Central and Southern Asia ,39.05,UN-Habitat Urban Indicators Database,346
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Berlin,Germany,Northern America and Europe,92.88,European Commission DG REGIO,347
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Craiova,Romania,Northern America and Europe,84.75,European Commission DG REGIO,348
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Almelo,Netherlands,Northern America and Europe,90.29,European Commission DG REGIO,349
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bern,Switzerland,Northern America and Europe,94.31,European Commission DG REGIO,350
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Crawley,United Kingdom,Northern America and Europe,96.32,European Commission DG REGIO,351
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Almere,Netherlands,Northern America and Europe,74.86,European Commission DG REGIO,352
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Besancon,France,Northern America and Europe,96.36,European Commission DG REGIO,353
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Crewe,United Kingdom,Northern America and Europe,96.4,European Commission DG REGIO,354
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Almería,Spain,Northern America and Europe,92.01,European Commission DG REGIO,355
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Accra,Ghana,Sub-Saharan Africa,52.46,UN-Habitat Urban Indicators Database,356
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Baharampur,India,Central and Southern Asia ,10.19,UN-Habitat Urban Indicators Database,357
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Concordia,Argentina,Latin America and the Caribbean ,15.9,UN-Habitat Urban Indicators Database,358
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Amsterdam,Netherlands,Northern America and Europe,92.88,European Commission DG REGIO,359
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bayonne,France,Northern America and Europe,97.25,European Commission DG REGIO,360
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Chengguan, Guizhou",China,Eastern and South-Eastern Asia,24.11,UN-Habitat Urban Indicators Database,361
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Adama Nazreth,Ethiopia,Sub-Saharan Africa,26.12,UN-Habitat Urban Indicators Database,362
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bahía Blanca,Argentina,Latin America and the Caribbean ,28.11,UN-Habitat Urban Indicators Database,363
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Constan?a,Romania,Northern America and Europe,91.44,European Commission DG REGIO,364
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ancona,Italy,Northern America and Europe,98.97,European Commission DG REGIO,365
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Baýramaly (Bajram-Ali),Turkmenistan,Central and Southern Asia ,8.21,UN-Habitat Urban Indicators Database,366
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Cheonan,Republic of Korea (South Korea),Eastern and South-Eastern Asia,35.45,UN-Habitat Urban Indicators Database,367
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Adan,Yemen,Western Asia  and Northern Africa ,24.51,UN-Habitat Urban Indicators Database,368
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",BahirDar,Ethiopia,Sub-Saharan Africa,46.18,UN-Habitat Urban Indicators Database,369
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Copiapó,Chile,Latin America and the Caribbean ,7.68,UN-Habitat Urban Indicators Database,370
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Andijan,Uzbekistan,Central and Southern Asia ,11.6,UN-Habitat Urban Indicators Database,371
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bayreuth,Germany,Northern America and Europe,99.16,European Commission DG REGIO,372
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chester,United Kingdom,Northern America and Europe,99.11,European Commission DG REGIO,373
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Adapazari,Turkey,Western Asia  and Northern Africa ,23.25,UN-Habitat Urban Indicators Database,374
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bahrain,Bahrain_AlManamah,Western Asia  and Northern Africa ,21.23,UN-Habitat Urban Indicators Database,375
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Corby,United Kingdom,Northern America and Europe,97.16,European Commission DG REGIO,376
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Angers,France,Northern America and Europe,97.47,European Commission DG REGIO,377
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bedford,United Kingdom,Northern America and Europe,97.37,European Commission DG REGIO,378
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Chesterfield,United Kingdom,Northern America and Europe,98.5,European Commission DG REGIO,379
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Addis Ababa,Ethiopia,Sub-Saharan Africa,31.54,UN-Habitat Urban Indicators Database,380
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Baku,Azerbaijan,Western Asia  and Northern Africa ,83.14,UN-Habitat Urban Indicators Database,381
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Balikesir,Turkey,Western Asia  and Northern Africa ,85.6,UN-Habitat Urban Indicators Database,382
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Balqash,Kazakhstan,Central and Southern Asia ,24.44,UN-Habitat Urban Indicators Database,383
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Balyk?y,Kyrgyzstan,Central and Southern Asia ,63.74,UN-Habitat Urban Indicators Database,384
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bamako,Mali,Sub-Saharan Africa,64.52,UN-Habitat Urban Indicators Database,385
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bamberg,Germany,Northern America and Europe,97.1,European Commission DG REGIO,386
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",BandaAceh,Indonesia,Eastern and South-Eastern Asia,29.74,UN-Habitat Urban Indicators Database,387
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bandar Abbas,Iran,Central and Southern Asia ,36.34,UN-Habitat Urban Indicators Database,388
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bandung,Indonesia,Eastern and South-Eastern Asia,47.35,UN-Habitat Urban Indicators Database,389
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bangkok,Thailand,Eastern and South-Eastern Asia,26.05,UN-Habitat Urban Indicators Database,390
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bangor,United Kingdom,Northern America and Europe,91.82,European Commission DG REGIO,391
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Banja Luka,Bosnia and Herzegovina,Northern America and Europe,64.29,European Commission DG REGIO,392
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Banská Bystrica,Slovakia,Northern America and Europe,95.78,European Commission DG REGIO,393
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Banzart,Tunisia,Western Asia  and Northern Africa ,16.06,UN-Habitat Urban Indicators Database,394
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Barcelona,Spain,Northern America and Europe,99.68,European Commission DG REGIO,395
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Barcelona & PuertoLaCruz,Venezuela,Latin America and the Caribbean ,29.66,UN-Habitat Urban Indicators Database,396
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Bari,Italy,Northern America and Europe,91.66,European Commission DG REGIO,397
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Barinas,Venezuela,Latin America and the Caribbean ,34.7,UN-Habitat Urban Indicators Database,398
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Barisal,Bangladesh,Central and Southern Asia ,13.8,UN-Habitat Urban Indicators Database,399
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Barletta,Italy,Northern America and Europe,98.15,European Commission DG REGIO,400
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kassel,Germany,Northern America and Europe,95.28,European Commission DG REGIO,401
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Grenoble,France,Northern America and Europe,96.76,European Commission DG REGIO,402
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Divinópolis,Brazil,Latin America and the Caribbean ,70.33,UN-Habitat Urban Indicators Database,403
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hastings,United Kingdom,Northern America and Europe,96.47,European Commission DG REGIO,404
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kasztelanka,Poland,Northern America and Europe,91.13,European Commission DG REGIO,405
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Falkirk,United Kingdom,Northern America and Europe,94.31,European Commission DG REGIO,406
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Leiden,Netherlands,Northern America and Europe,92.95,European Commission DG REGIO,407
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Diyarb Najm,Egypt,Western Asia  and Northern Africa ,21.6,UN-Habitat Urban Indicators Database,408
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Katowice,Poland,Northern America and Europe,86.47,UN-Habitat Urban Indicators Database,409
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Falticeni,Romania,Northern America and Europe,30.16,UN-Habitat Urban Indicators Database,410
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Falticeni,Romania,Northern America and Europe,30.16,European Commission DG REGIO,411
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ferrara,Italy,Northern America and Europe,94.34,European Commission DG REGIO,412
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ferrol,Spain,Northern America and Europe,93.57,European Commission DG REGIO,413
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Fez,Morocco,Western Asia  and Northern Africa ,39.1,UN-Habitat Urban Indicators Database,414
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Fianarantsoa,Madagascar,Sub-Saharan Africa,52.8,UN-Habitat Urban Indicators Database,415
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Fikh Ben Salah,Morocco,Western Asia  and Northern Africa ,52.1,UN-Habitat Urban Indicators Database,416
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Firenze,Italy,Northern America and Europe,98.29,European Commission DG REGIO,417
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Flensburg,Germany,Northern America and Europe,91.81,European Commission DG REGIO,418
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Florianopolis,Brazil,Latin America and the Caribbean ,88.78,UN-Habitat Urban Indicators Database,419
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Formosa,Argentina,Latin America and the Caribbean ,14.98,UN-Habitat Urban Indicators Database,420
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Frankfurt (Oder),Germany,Northern America and Europe,94.15,European Commission DG REGIO,421
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Frankfurt am Main,Germany,Northern America and Europe,94.96,European Commission DG REGIO,422
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Freiburg im Breisgau,Germany,Northern America and Europe,90.87,European Commission DG REGIO,423
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Fréjus,France,Northern America and Europe,92.67,European Commission DG REGIO,424
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Limerick,Ireland,Northern America and Europe,84.55,European Commission DG REGIO,425
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Limoges,France,Northern America and Europe,95.12,European Commission DG REGIO,426
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lincoln,United Kingdom,Northern America and Europe,95.09,European Commission DG REGIO,427
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Linköping,Sweden,Northern America and Europe,91.11,European Commission DG REGIO,428
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Linz,Austria,Northern America and Europe,93.84,European Commission DG REGIO,429
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lira,Uganda,Sub-Saharan Africa,11.18,UN-Habitat Urban Indicators Database,430
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Liverpool,United Kingdom,Northern America and Europe,96.89,European Commission DG REGIO,431
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Livingston,United Kingdom,Northern America and Europe,92.58,European Commission DG REGIO,432
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Livorno,Italy,Northern America and Europe,98.56,European Commission DG REGIO,433
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ljubljana,Slovenia,Northern America and Europe,92.53,European Commission DG REGIO,434
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lodz,Poland,Northern America and Europe,93.76,European Commission DG REGIO,435
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Logroño,Spain,Northern America and Europe,98.5,European Commission DG REGIO,436
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Loikaw,Myanmar,Eastern and South-Eastern Asia,15.75,UN-Habitat Urban Indicators Database,437
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Loja,Ecuador,Latin America and the Caribbean ,55.62,UN-Habitat Urban Indicators Database,438
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lomza,Poland,Northern America and Europe,96.97,European Commission DG REGIO,439
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",London,United Kingdom,Northern America and Europe,94.79,European Commission DG REGIO,440
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lørenskog / Lillestrøm,Norway,Northern America and Europe,85.4,European Commission DG REGIO,441
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Los Ángeles,Chile,Latin America and the Caribbean ,47.51,UN-Habitat Urban Indicators Database,442
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Los Teques_San Antonio De Los Altos,Venezuela,Latin America and the Caribbean ,26.07,UN-Habitat Urban Indicators Database,443
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Louga,Senegal,Sub-Saharan Africa,38.7,UN-Habitat Urban Indicators Database,444
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Loughborough,United Kingdom,Northern America and Europe,97.35,European Commission DG REGIO,445
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",LowerHutt,New Zealand,Australia and New Zealand ,97.08,UN-Habitat Urban Indicators Database,446
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Luanda,Angola,Sub-Saharan Africa,10.67,UN-Habitat Urban Indicators Database,447
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lübeck,Germany,Northern America and Europe,91.91,European Commission DG REGIO,448
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lublin,Poland,Northern America and Europe,87.19,European Commission DG REGIO,449
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lubumbashi,Congo Dem. Rep.,Sub-Saharan Africa,4.56,UN-Habitat Urban Indicators Database,450
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Lüdenscheid,Germany,Northern America and Europe,97.04,European Commission DG REGIO,451
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jelenia Góra,Poland,Northern America and Europe,94.2,European Commission DG REGIO,452
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kimbe,Papua New Guinea,Oceania  excluding Australia and New Zealand ,11.91,UN-Habitat Urban Indicators Database,453
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Haunstetten,Germany,Northern America and Europe,93.15,European Commission DG REGIO,454
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Göppingen,Germany,Northern America and Europe,93.31,European Commission DG REGIO,455
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Haví?ov,Czech Republic,Northern America and Europe,94.37,European Commission DG REGIO,456
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jena,Germany,Northern America and Europe,90.05,European Commission DG REGIO,457
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dunedin,New Zealand,Australia and New Zealand ,94.38,UN-Habitat Urban Indicators Database,458
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Heerlen,Netherlands,Northern America and Europe,85.97,European Commission DG REGIO,459
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Heidelberg,Germany,Northern America and Europe,96.36,European Commission DG REGIO,460
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kalisz,Poland,Northern America and Europe,97.32,European Commission DG REGIO,461
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Heilbronn,Germany,Northern America and Europe,95.26,European Commission DG REGIO,462
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Helmond,Netherlands,Northern America and Europe,84.56,European Commission DG REGIO,463
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Helsingborg,Sweden,Northern America and Europe,88.41,European Commission DG REGIO,464
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Helsinki / Helsingfors,Finland,Northern America and Europe,95.84,European Commission DG REGIO,465
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hengelo,Netherlands,Northern America and Europe,88.5,European Commission DG REGIO,466
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Herat,Afghanistan,Central and Southern Asia ,23.38,UN-Habitat Urban Indicators Database,467
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hereford,United Kingdom,Northern America and Europe,97.98,European Commission DG REGIO,468
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Herzogenrath,Germany,Northern America and Europe,93.78,European Commission DG REGIO,469
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hildesheim,Germany,Northern America and Europe,94.84,European Commission DG REGIO,470
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hilversum,Netherlands,Northern America and Europe,95.62,European Commission DG REGIO,471
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hindupur,India,Central and Southern Asia ,26.13,UN-Habitat Urban Indicators Database,472
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ho Chi Minh City,Vietnam,Eastern and South-Eastern Asia,68.65,UN-Habitat Urban Indicators Database,473
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",HobartCity,Australia,Australia and New Zealand ,94.31,UN-Habitat Urban Indicators Database,474
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Holguin,Cuba,Latin America and the Caribbean ,62.59,UN-Habitat Urban Indicators Database,475
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Hong Kong, Hong Kong",China,Eastern and South-Eastern Asia,98.8,UN-Habitat Urban Indicators Database,476
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Honiara,Solomon Islands,Oceania  excluding Australia and New Zealand ,7.12,UN-Habitat Urban Indicators Database,477
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hoorn,Netherlands,Northern America and Europe,89.61,European Commission DG REGIO,478
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hrabuvka,Czech Republic,Northern America and Europe,60.85,European Commission DG REGIO,479
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hradec Králové,Czech Republic,Northern America and Europe,92.64,European Commission DG REGIO,480
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hrodna ,Belarus ,Northern America and Europe,87.25,UN-Habitat Urban Indicators Database,481
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Huacho,Peru,Latin America and the Caribbean ,15.34,UN-Habitat Urban Indicators Database,482
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Huancayo,Peru,Latin America and the Caribbean ,13.47,UN-Habitat Urban Indicators Database,483
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Istaravšan (Urateppa, Ura-T'ube) [Istarawshan]",Tajikistan,Central and Southern Asia ,27.02,UN-Habitat Urban Indicators Database,484
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Huaral,Peru,Latin America and the Caribbean ,9.27,UN-Habitat Urban Indicators Database,485
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Huddersfield,United Kingdom,Northern America and Europe,97.34,European Commission DG REGIO,486
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Huehuetenango,Guatemala,Latin America and the Caribbean ,40.51,UN-Habitat Urban Indicators Database,487
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hyderabad,Pakistan,Central and Southern Asia ,58.45,UN-Habitat Urban Indicators Database,488
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hyderabad,India,Central and Southern Asia ,71.99,UN-Habitat Urban Indicators Database,489
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Hyndburn,United Kingdom,Northern America and Europe,98.32,European Commission DG REGIO,490
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ia?i,Romania,Northern America and Europe,80.36,European Commission DG REGIO,491
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Plata,Argentina,Latin America and the Caribbean ,41.35,UN-Habitat Urban Indicators Database,492
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Itahari,Nepal,Central and Southern Asia ,23.8,UN-Habitat Urban Indicators Database,493
